game_id;game_name;companies;rating;year
10;"Jade Empire: Special Edition";2,52,53,8,54,73,1;80;2016
18;"Max Payne";204,130,306,224,3190,2134,378,157,23,29,305,139;80;2016
111;"Amnesia: The Dark Descent";36;84;2016
113;"Assassin's Creed: Brotherhood";104,38,39,896,697,822;83;2016
117;"The Last Guardian";44,10100,10692,13071;82;2016
127;"Assassin's Creed II";38,104;89;2016
163;"Star Wars: Rogue Squadron";75,10,70,426;79;2016
342;"Duke Nukem 3D";224,225,226,205,227,228,229,230,231,130,634,2345;79;2016
359;"Final Fantasy XV";2670,1863,3573,3331,26;80;2016
414;"Final Fantasy Tactics Advance";70,26,250;86;2016
421;"Final Fantasy IX";252,213,324,26;86;2016
438;"Rome: Total War";111,66,112,23;87;2016
440;"Medieval II: Total War";111,112,23;88;2016
447;"Medieval II: Total War - Kingdoms";111,112,23;79;2016
493;"Heavy Rain";261,45;81;2016
496;"Dead Rising 2";211,37,1099;78;2016
500;"Batman: Arkham Asylum";4,3989,164,14055;88;2016
501;"Batman: Arkham City";164,50,165;89;2016
513;"Phantasy Star Online 2";112,24354,6122,16660;75;2016
534;"The Legend of Zelda: Skyward Sword";70,1366;88;2016
537;"Assassin's Creed: Revelations";104,38,2921,39,896,822,697,537;79;2016
568;"Marvel: Ultimate Alliance 2";72,319,64,2149,66;72;2016
576;"DC Universe Online";243,6997,50;69;2016
847;"Resident Evil 5";37,1099;77;2016
885;"Super Meat Boy";591,4602;85;2016
970;"Resident Evil Zero";655,37,652,330;73;2016
974;"Resident Evil 4";37,663,238;85;2016
975;"Resident Evil: The Umbrella Chronicles";37,329;68;2016
1011;"Borderlands 2";148,8,2121,73,907;83;2016
1014;"APB Reloaded";733,735,949,423,1,7389;62;2016
1026;"The Legend of Zelda: A Link to the Past";70,421,25230;96;2016
1030;"The Legend of Zelda: Majora's Mask";70,421;89;2016
1037;"The Legend of Zelda: Phantom Hourglass";70,1366;83;2016
1038;"The Legend of Zelda: Spirit Tracks";70,1366;84;2016
1070;"Super Mario World";70,421;96;2016
1077;"Super Mario Galaxy";421,70;93;2016
1082;"Resident Evil 6";774,37;66;2016
1090;"Donkey Kong Country";771,70;83;2016
1092;"Donkey Kong Country 2: Diddy's Kong Quest";771,70;80;2016
1094;"Donkey Kong Country 3: Dixie Kong's Double Trouble!";771,70;74;2016
1100;"Donkey Kong Country Returns";766,70;84;2016
1103;"Super Metroid";70,765,1809;96;2016
1107;"Metroid: Zero Mission";70,1809;91;2016
1110;"Metroid Prime Hunters";768,70;78;2016
1113;"Metroid: Other M";769,770,70;73;2016
1124;"Super Castlevania IV";129;88;2016
1164;"Tomb Raider";26,552,23,291;84;2016
1184;"World of Tanks";790,29965;75;2016
1204;"Tales of Symphonia";263,826,5024,70;89;2016
1215;"Dark Cloud 2";837,400,45;88;2016
1322;"Ty the Tasmanian Tiger";1,385,385;70;2016
1334;"Brothers: A Tale of Two Sons";280,1217,445,3980;83;2016
1338;"Prison Architect";1224,748;79;2016
1339;"Psychonauts";85,700,197,684;85;2016
1405;"Hawken";2736,2737,7557,445;57;2016
1407;"Metal Slug 2";1474,2582,2837,781,4501,1474;82;2016
1429;"Apollo Justice: Ace Attorney";37;72;2016
1444;"Fire Emblem: Shadow Dragon";765,866,70;80;2016
1469;"Kuru Kuru Kururin";70,2821;75;2016
1511;"Pokémon Blue";1617,70;85;2016
1512;"Pokémon Yellow";1617,70;81;2016
1561;"Pokémon Red";1617,70;80;2016
1655;"Final Fight";37,37,227;81;2016
1656;"Final Fight 2";37;81;2016
1657;"Final Fight 3";37;82;2016
1676;"Dodonpachi Resurrection";832,2433,4706;73;2016
1679;"Wild Arms 3";2676,2042,45;70;2016
1693;"Advance Wars: Dual Strike";765,70;87;2016
1701;"Wario: Master of Disguise";1814,70;49;2016
1702;"Wario Land: Shake It!";70,1025;77;2016
1706;"WarioWare: Smooth Moves";765,70,2674;83;2016
1720;"Mega Man 7";37;77;2016
1741;"Mega Man X";10157,37;86;2016
1742;"Mega Man X2";37;84;2016
1743;"Mega Man X3";37,141;78;2016
1754;"Mega Man Legends 2";892,3393,37,3394;83;2016
1764;"Mega Man Battle Network 6: Cybeast Falzar";892,37;73;2016
1765;"Mega Man Battle Network 6: Cybeast Gregar";892,37;79;2016
1821;"Dragon Quest X";26,2161;-1.0;2016
1879;"Terraria";3010,2390,910,445,14238;81;2016
1882;"Amnesia: A Machine for Pigs";1364,36;70;2016
1886;"Homefront: The Revolution";3594,423;57;2016
1906;"Gone Home";2512,918,11662;80;2016
1907;"Grim Dawn";915;77;2016
1908;"Neverwinter";916,917;69;2016
1928;"Indigo Prophecy";261,82;84;2016
1943;"Whore of the Orient";30;-1.0;2016
1963;"Rayman";104,888,61,4788,702;79;2016
1969;"Red Dead Revolver";364,37,29,139,37;68;2016
1971;"Manhunt";365,29,139;75;2016
1983;"Bastion";4602,50,928;87;2016
2025;"Mount & Blade: Warband";517,947;77;2016
2050;"LEGO Marvel Super Heroes";50,292,1290;82;2016
2066;"Ultimate Marvel vs. Capcom 3";2821,37;77;2016
2112;"Mirror's Edge Catalyst";1,94;69;2016
2114;"Tom Clancy's The Division";104,897,537;77;2016
2173;"New Super Luigi U";70,1048;74;2016
2178;"New Super Mario Bros. Wii";70,421;82;2016
2184;"Kirby's Epic Yarn";70,1025;76;2016
2191;"Super Paper Mario";70,25077,2935;78;2016
2212;"MLB The Show 16";2170,13634;85;2016
2255;"Mario Strikers Charged";1054,2935,70;74;2016
2264;"Zack & Wiki: Quest for Barbaros' Treasure";37;80;2016
2319;"Pokémon Mystery Dungeon: Red Rescue Team";1093,70;71;2016
2320;"Pokémon Mystery Dungeon: Blue Rescue Team";70,1093;71;2016
2323;"Pokémon Mystery Dungeon: Explorers of Sky";1093,70;65;2016
2324;"Pokémon Snap";762,1094,70,2850,4034;77;2016
2328;"Mario Party 2";864,70,2334;79;2016
2332;"Super Mario Kart";70,421;86;2016
2335;"Mario Party DS";864,70;65;2016
2342;"Mario Kart 64";421,70;82;2016
2345;"Mario Kart DS";1103,70;85;2016
2364;"Xenoblade Chronicles";70,1119;90;2016
2450;"Vendetta Online";1082,146,1082;60;2016
2552;"Mad Max";437,50,23;75;2016
2591;"Star Fox 64";421,70;87;2016
2645;"Animal Crossing: Wild World";70,1246;77;2016
2651;"Destroy All Humans!";197,63,10075;71;2016
2652;"Destroy All Humans! 2";197,63;74;2016
2720;"Bully";636,139,29,637;85;2016
2736;"Dig Dug II: Trouble in Paradise";263,617,3958;65;2016
2744;"Big Brain Academy";70,1048;74;2016
2955;"Elite: Dangerous";208;81;2016
2990;"Machinarium";1396;85;2016
2999;"Cobalt";1401,58,1010;68;2016
3018;"Unepic";3913,3913,1416,1417,2238,6056;69;2016
3019;"Starbound";1418;79;2016
3040;"A Virus Named Tom";1425,1425;45;2016
3082;"Dear Esther";1364,5048;71;2016
3102;"Kerbal Space Program";1464,2827,10392;88;2016
3149;"LEGO Harry Potter: Years 1-4";23,1290,50,292;79;2016
3150;"LEGO Harry Potter: Years 5-7";23,1290,292,50;75;2016
3151;"Electronic Super Joy";1495,22442;79;2016
3173;"Risk of Rain";1532,1418;81;2016
3211;"Tropico 5";175,783,26;73;2016
3213;"Yoshi's Story";421,70;68;2016
3225;"No Man's Sky";1641,445,10100;71;2016
3245;"A Dark Room";1664,6379;67;2016
3263;"Grand Theft Auto: Liberty City Stories";308,365,139,29;78;2016
3337;"Excitebike 64";70,1748;80;2016
3489;"F-Zero X";421,70;80;2016
3490;"F-Zero";70,421,25230;80;2016
3629;"Wave Race 64";421,70;73;2016
3656;"Kirby's Dream Course";70,421,762;75;2016
3663;"Kid Icarus";70,1809,20579;70;2016
3722;"Kirby: Canvas Curse";70,762;81;2016
3724;"Kirby Mass Attack";70,762;78;2016
3750;"Quantum Break";305,1010;75;2016
3831;"Air Conflicts: Pacific Carriers";731,2941;40;2016
3968;"Dragon's Dogma";37;74;2016
3987;"Mario Super Sluggers";70,3958,1976;72;2016
3988;"Mario Hoops 3-on-3";70,26;60;2016
3989;"Mario Sports Mix";1977,70,26;76;2016
4180;"Star Wars: Bounty Hunter";10;62;2016
4558;"PokéPark Wii: Pikachu's Adventure";70,1393,1074;71;2016
4565;"Pokémon Ranger: Guardian Signs";1393,762,70;69;2016
4598;"Contra";129,1271,129,27647,17183;67;2016
4601;"Hogan's Alley";70;60;2016
4610;"City Connection";303,12958;55;2016
4625;"Wild Gunman";70;46;2016
4656;"A Boy and His Blob";1021,2345,700,2512,2345;61;2016
4701;"Conception II: Children of the Seven Stars";818,1217;53;2016
4766;"Classic British Motor Racing";2132,1014;20;2016
4788;"Octodad: Dadliest Catch";2147;73;2016
4797;"Dead Rising";37,660,774;78;2016
4836;"Excitebots: Trick Racing";70,610,2167;77;2016
4974;"Little King's Story";2091,832,2187,782;71;2016
4999;"Marvel: Ultimate Alliance";2052,71,72,432,1923,66,2149;75;2016
5004;"Metal Slug Anthology";1474,451,2230,2231;78;2016
5015;"Monster Jam";66,690;30;2016
5026;"Rainbow Moon";2237,2238;68;2016
5033;"Scribblenauts Unmasked: A DC Comics Adventure";2162;72;2016
5060;"Deponia";2248;77;2016
5097;"Phantom Brave";2261,630,1405,2262;86;2016
5122;"Rhythm Heaven Fever";70,2674,2270;81;2016
5145;"Secret Files: Tunguska";423,593,236,2276,2277;69;2016
5162;"SNK Arcade Classics Vol. 1";451,10099,833,2582;69;2016
5266;"We Sing";753,2331;40;2016
5321;"Tokyo Mirage Sessions #FE";70,818,765;76;2016
5327;"Mighty No. 9";2344,2345,2343,423;55;2016
5328;"Metal Gear Solid V: Ground Zeroes";129,170;77;2016
5418;"Super Mario RPG: Legend of the Seven Stars";250,70;89;2016
5444;"PixelJunk Monsters";748,45,2933;67;2016
5452;"Sonic the Hedgehog CD";395,875,112,25754;79;2016
5508;"The Banner Saga";2450,2449;84;2016
5523;"Reus";5317,6999,4602;69;2016
5552;"Oddworld: New 'n' Tasty";728,727;81;2016
5560;"Wonder Boy";1802,66,10069,4981,4981;70;2016
5573;"Planet Explorers";2473;70;2016
5574;"7 Days to Die";2474,294,2121;55;2016
5590;"Pixel Piracy";445,2345,2485,910,2486,2487;54;2016
5592;"Runner2: Future Legend of Rhythm Alien";2103,2728,2728;79;2016
5595;"Awesomenauts Assemble!";835,2345;90;2016
5597;"Assetto Corsa";2490,445;76;2016
5601;"The Witness";12298;86;2016
5607;"SMITE";2499,3595;74;2016
5611;"RuneScape";2050;81;2016
5626;"Forced";2509;83;2016
5643;"BlazBlue: Chrono Phantasma";1218,2103;80;2016
5850;"Grand Theft Auto: The Trilogy";29,365;87;2016
5924;"Dead Rising 2: Off the Record";1611,37,1099;71;2016
5973;"Broforce";2345,2603,634;74;2016
6006;"Kingdom Rush Frontiers";2761,2761;71;2016
6030;"The Warriors";306,308,29,139;83;2016
6032;"Borderlands: The Pre-Sequel";139,148,2492,8;75;2016
6044;"Invisible, Inc.";1005;81;2016
6045;"Not a Hero";3689,634;70;2016
6059;"Blood Bowl 2";110,404;70;2016
6063;"Ape Escape 2";400,104,10100;80;2016
6066;"Severed";2168;80;2016
6070;"Glitchspace";2682;60;2016
6074;"The Incredible Adventures of Van Helsing II";1243;67;2016
6077;"1941: Counter Attack";37;64;2016
6160;"Star Wars: Jedi Starfighter";10;69;2016
6162;"State of Emergency 2";1327,1322;35;2016
6273;"Red Faction";507,2733,197,753,390;72;2016
6292;"Black Desert Online";2746,2748,13020;70;2016
6296;"Xanadu Next";2421,2751,2187,2752;81;2016
6337;"Breath of Fire II";37,2767,104;77;2016
6351;"Contra III: The Alien Wars";129;81;2016
6371;"Densetsu no Stafy 2";70,321;-1.0;2016
6372;"Densetsu no Stafy 3";70,321;-1.0;2016
6390;"Drill Dozer";70,1617;74;2016
6452;"Tales of Zestiria";774,248,1913,3958,22721;74;2016
6506;"Mario vs. Donkey Kong 2: March of the Minis";70,768;74;2016
6536;"Polarium Advance";70,818,2830;80;2016
6598;"Sonic Advance 2";197,213,112,396,395;79;2016
6599;"Sonic Advance 3";197,112,395,396;72;2016
6621;"Super Ghouls 'n Ghosts";37;73;2016
6655;"Mother Russia Bleeds";5960,634;66;2016
6660;"Darius Twin";1440,28783,26;-1.0;2016
6703;"Street Fighter Alpha 2";37;80;2016
6748;"Killing Floor 2";743,423,2776;76;2016
6751;"Code of Princess";2163,818,2904;57;2016
6776;"Loading Human";2913,3037;53;2016
6810;"Bombshell";1134,224;47;2016
6839;"Lego Legends of Chima: Laval's Journey";50,293;44;2016
6840;"R-Type";5896,7405,5896,4501,864,4981;77;2016
6879;"Space Hulk: Deathwing";2723,404,110;55;2016
6923;"Blue Dragon";53,2221,2175;80;2016
6963;"Deathsmiles";2278,2958,2103,832;73;2016
6986;"Edge of Twilight – Return To Glory";2964;40;2016
7004;"Guilty Gear 2: Overture";1218,2103,445;73;2016
7084;"Marvel Puzzle Quest";449,13;45;2016
7194;"Steins;Gate";2428,3020,4091,5996,2929,2946;88;2016
7202;"Earthlock: Festival of Magic";3024;69;2016
7205;"SUPERHOT";5966,6072;81;2016
7206;"Battle Worlds: Kronos";2397,10075,2397;49;2016
7255;"Pulstar";3038,1474,4501,5346;67;2016
7323;"Rise of the Tomb Raider";1010,552,26;85;2016
7331;"Uncharted 4: A Thief's End";401,45;93;2016
7342;"INSIDE";854;90;2016
7351;"DOOM";184,2095,16565;87;2016
7352;"ABZÛ";4681,445;79;2016
7393;"World of Tanks: Blitz";790;70;2016
7405;"Everybody's Gone to the Rapture";1364,45;76;2016
7411;"Grave";3075;-1.0;2016
7413;"Final Fantasy: Explorers";26,1922;71;2016
7417;"Swordsman";917;-1.0;2016
7435;"Heroes & Generals";3083;56;2016
7443;"Lichdom: Battlemage";3085,3037;53;2016
7495;"Ballistics";842,1058,3096,376;80;2016
7499;"Escape Dead Island";860,423;47;2016
7522;"0 A.D.";3113;-1.0;2016
7578;"I Have No Mouth, and I Must Scream";1185,287,1704,4501,3162;81;2016
7584;"Star Trek Online";916,917,2406;66;2016
7599;"Life is Strange";894,26,23;81;2016
7600;"Alienation";1006,10100;75;2016
7601;"Plague Inc: Evolved";957;80;2016
7604;"The Tomorrow Children";10692,10100,2933;49;2016
7618;"Never Alone";4134,4135;70;2016
7627;"RollerCoaster Tycoon World";2406,6360;36;2016
7630;"Warhammer 40,000: Eternal Crusade";1260,3958;60;2016
7641;"Teslagrad";9548,6379,6957,3191;77;2016
7642;"Among the Sleep";3192;68;2016
7687;"Battleborn";148,8;67;2016
7706;"This War of Mine";4133;81;2016
7709;"Salt and Sanctuary";4834,7778,4602;85;2016
7717;"NBA Live 15";555,454;66;2016
7767;"Mini Metro";11360,7712,3688,3688,4363;88;2016
7794;"Bonk's Adventure";864,3704,1838,818,104;69;2016
7819;"Shadow Puppeteer";3719,9548;63;2016
7842;"Danganronpa: Trigger Happy Havoc";2262,1217,2345;84;2016
7886;"Crypt of the NecroDancer";1217,4602,3834,1005;81;2016
7965;"Kholat";5966,4602;64;2016
7997;"Nacho LIbre";700,684;33;2016
8036;"Verdun";3957,5680,2345;59;2016
8114;"Jazzpunk";4059,4440;78;2016
8138;"Neverending Nightmares";4068;66;2016
8173;"Overwatch";51,26;86;2016
8209;"Mordheim: City of the Damned";4718,110;63;2016
8223;"Assassin's Creed Chronicles: China";163,7041;70;2016
8236;"Kinetica";4357,907;-1.0;2016
8256;"N.E.R.O.: Nothing Ever Remains Obscure";4184,6999,4184;55;2016
8258;"Street Fighter V";37;73;2016
8288;"The Banner Saga 2";2449,2450;87;2016
8311;"Titan Quest";198,197,13,4501,10075;80;2016
8339;"Minecraft: Story Mode";294,58;68;2016
