id;name
1;Electronic Arts
2;BioWare
8;2K Games
13;Demiurge Studios
17;Digital Extremes
19;Arkane Studios
23;Feral Interactive
26;Square Enix
27;Eidos Montréal
29;Rockstar Games
36;Frictional Games
37;Capcom
38;Ubisoft Montreal
42;Tencent Holdings Ltd
47;Obsidian Entertainment
50;WB Games
51;Blizzard Entertainment
53;Microsoft Game Studios
56;Valve Corporation
58;Mojang Studios
66;Activision
67;Petroglyph Games
70;Nintendo
71;Raven Software
72;Vicarious Visions
73;Aspyr Media
82;Atari
85;Double Fine Productions
94;EA Digital Illusions CE
104;Ubisoft Entertainment
110;Focus Home Interactive
111;The Creative Assembly
112;Sega
115;Codemasters
118;Paradox Development
119;Mass Media Interactive Entertainment
126;Bethesda Game Studios
129;Konami
139;Take-Two Interactive
154;Neowiz Games
157;1C Company
163;Climax Studios
164;Rocksteady Studios
167;People Can Fly
175;Haemimont Games
179;Activision Blizzard
184;id Software
187;Nerve Software, LLC
190;Atari Corporation
191;Imagineer
197;THQ
198;Iron Lore Entertainment
205;GT Interactive
208;Frontier Developments
213;Infogrames
221;Splash Damage
224;3D Realms
229;SEGA of America
233;Piranha Games
236;DreamCatcher Interactive
248;Bandai Namco Entertainment
251;Sunsoft
261;Quantic Dream
268;Global Star Software
277;EA Canada
280;Starbreeze Studios
283;The Sims Studio
284;Maxis
287;Acclaim Entertainment
290;IO Interactive
291;Nixxes Software
292;Traveller's Tales
293;TT Games
294;Telltale Games
303;Jaleco
313;Success Corporation
314;4A Games
315;Trion Worlds
316;Sierra
318;Rebellion Developments
322;Matrix Software
326;Cyan Worlds
329;Cavia
347;Criterion Games
370;Péndulo Studios
374;Koch Media
377;Firaxis Games
380;Adventure Soft
385;Krome Studios
389;Universomo
390;THQ Wireless
393;inXile Entertainment
395;Sonic Team
396;Dimps Corporation
398;Ubisoft Shanghai
399;Longtail Studios
404;Cyanide Studio
407;Monolith Productions
413;Human Head Studios
414;Croteam
421;Nintendo EAD
423;Deep Silver
425;Eurocom
426;Disney Interactive Studios
427;Bugbear Entertainment
428;Treyarch
437;Avalanche Studios
442;Asobo Studio
445;505 Games
449;D3 Publisher
453;Zen Studios
454;EA Sports
458;Funcom
486;Sports Interactive
489;Mindscape
507;Volition Inc
510;Larian Studios
517;Paradox Interactive
537;Massive Entertainment
547;Accolade
552;Crystal Dynamics
555;EA Tiburon
563;Rainbow Studios
564;Presto Studios
591;Team Meat
593;The Adventure Company
594;Microïds
610;Monster Games
613;2D Boy
620;Bungie
634;Devolver Digital
659;Sledgehammer Games
660;Capcom Production Studio 1
667;Crave Entertainment
689;Garena
690;Torus Games
694;Visual Concepts
696;HB Studios
700;Majesco Entertainment
702;Ubisoft Montpellier
709;Teyon
710;Mastiff
