game_id;game_name;companies;rating;year
134;"Devil May Cry";37;83;2019
135;"Devil May Cry 2";37;54;2019
152;"Star Wars: Jedi Knight II - Jedi Outcast";74,66,72,71,378,10,73;79;2019
312;"DOOM II: Hell on Earth";184,205,2417,66,191,141,690,4115,230,187,16565;85;2019
359;"Final Fantasy XV";2670,1863,3573,3331,26;80;2019
421;"Final Fantasy IX";252,213,324,26;86;2019
427;"Final Fantasy VII";250,4,26,334,907;88;2019
576;"DC Universe Online";243,6997,50;69;2019
673;"DOOM";66,205,4112,4113,4114,665,1271,191,82,184,187,112,387,4111,16565,360,543,1169;83;2019
792;"MissionForce: CyberStorm";24,317,66;-1.0;2019
847;"Resident Evil 5";37,1099;77;2019
873;"Saints Row: The Third";507,197,74,26,423;81;2019
974;"Resident Evil 4";37,663,238;85;2019
990;"Halo: Reach";620,53;87;2019
1022;"The Legend of Zelda";421,70;81;2019
1025;"Zelda II: The Adventure of Link";421,70;64;2019
1026;"The Legend of Zelda: A Link to the Past";70,421,25230;96;2019
1066;"Super Mario Bros.: The Lost Levels";421,70;75;2019
1067;"Super Mario Bros. 2";70,421;77;2019
1070;"Super Mario World";70,421;96;2019
1073;"Super Mario World 2: Yoshi's Island";70,421;95;2019
1082;"Resident Evil 6";774,37;66;2019
1088;"Donkey Kong 3";70,70,864;60;2019
1103;"Super Metroid";70,765,1809;96;2019
1269;"Darksiders II";825,197,1217;82;2019
1334;"Brothers: A Tale of Two Sons";280,1217,445,3980;83;2019
1337;"Torchlight II";859;82;2019
1352;"Journey";857,45,11662,15512;90;2019
1354;"Flower";45,1030,11662,857;79;2019
1398;"Professor Layton and the Diabolical Box";70,837,322;82;2019
1433;"Fire Emblem: Shadow Dragon and the Blade of Light";765,70,1809;73;2019
1593;"Pillars of Eternity";47,517;81;2019
1812;"Dragon Quest";70,2161,4141,1217,1093,1854,2850,26;71;2019
1813;"Dragon Quest II: Luminaries of the Legendary Line";1093,2783,26;40;2019
1814;"Dragon Quest III: The Seeds of Salvation";1093,4242,321,2783;44;2019
1864;"Ni no Kuni: Wrath of the White Witch";837,3958,248;85;2019
1879;"Terraria";3010,2390,910,445,14238;81;2019
1880;"Baldur's Gate: Enhanced Edition";5071,82,2501;84;2019
1911;"Path of Exile";919;80;2019
1976;"Call of Juarez: Gunslinger";108,104;76;2019
2049;"Slender: The Arrival";955,2512;67;2019
2117;"DayZ";116;58;2019
2332;"Super Mario Kart";70,421;86;2019
2367;"Blaster Master";9489;82;2019
2593;"Cube World";3822;35;2019
2933;"Kingdom Hearts III";26,426,26;82;2019
2939;"The Vanishing of Ethan Carter";2518;79;2019
3121;"Crystalis";1474,70,768,1474;61;2019
3151;"Electronic Super Joy";1495,22442;79;2019
3227;"Nuclear Throne";1653;77;2019
3239;"Space Engineers";1659;67;2019
3245;"A Dark Room";1664,6379;67;2019
3399;"Golf";70,70,864;58;2019
3490;"F-Zero";70,421,25230;80;2019
3717;"Kirby's Adventure";70,803,762;71;2019
3719;"Kirby Super Star";70,762;83;2019
3720;"Kirby's Dream Land 3";70,762;82;2019
3772;"Wreckfest";10075,427;76;2019
4164;"Sphinx and the Cursed Mummy";197,10075,425,2019;75;2019
4754;"Alien: Isolation";112,111,23;86;2019
4911;"Heavenly Guardian";445,2100,2200;-1.0;2019
5060;"Deponia";2248;77;2019
5062;"Chaos on Deponia";2248;82;2019
5064;"Goodbye Deponia";2248;74;2019
5119;"Real Heroes: Firefighter";1795,2267,22443;65;2019
5146;"Secret Files 2: Puritas Cordis";423,2276,2277,2154;64;2019
5568;"40 Winks";205,12540,425;80;2019
5607;"SMITE";2499,3595;74;2019
5613;"Baldur's Gate II: Enhanced Edition";82,2501,5071;89;2019
5893;"Tales from Space: Mutant Blobs Attack";2168;82;2019
6337;"Breath of Fire II";37,2767,104;77;2019
6414;"Kingdom Under Fire II";2575,2576;60;2019
6415;"GRID: Autosport";412,115,23;72;2019
6451;"ArcheAge";2808,315,3595,3596;85;2019
6621;"Super Ghouls 'n Ghosts";37;73;2019
6701;"Edna & Harvey: Harvey's New Eyes";2248,8229;75;2019
6705;"A Hat in Time";2884,2884,4996;81;2019
6741;"Guard Duty";19058,14997,10507;80;2019
6749;"Snow";2903;50;2019
6789;"Darius";1440,1440,7253,12755,23691,781;73;2019
6790;"Double Dragon II: The Revenge";1753,1753,12390,13611,2839;82;2019
6918;"Blades of Time";129,1018;62;2019
6968;"DOOM 3: BFG Edition";184,16565;74;2019
7205;"SUPERHOT";5966,6072;81;2019
7206;"Battle Worlds: Kronos";2397,10075,2397;49;2019
7291;"Hunt: Showdown";122,249;77;2019
7323;"Rise of the Tomb Raider";1010,552,26;85;2019
7333;"Crackdown 3";1010,6155,1359,439,6154;61;2019
7348;"Halo: The Master Chief Collection";722,57,946,823,1359,221,17966,221,3246;86;2019
7585;"SpaceEngine";5086;90;2019
7601;"Plague Inc: Evolved";957;80;2019
7603;"Hellblade: Senua's Sacrifice";795;86;2019
7675;"Hard West";3225,6549;69;2019
7684;"Ghost of a Tale";14768;74;2019
7709;"Salt and Sanctuary";4834,7778,4602;85;2019
7937;"La-Mulana 2";3909,4363;82;2019
7964;"Ittle Dew";8382;80;2019
8173;"Overwatch";51,26;86;2019
8254;"Resident Evil: HD Remaster";37;85;2019
8255;"Trine 3: The Artifacts of Power";2729;63;2019
8423;"Jon Shafer's At the Gates";4419;61;2019
8480;"Warhammer Quest";4459,4460,4461;58;2019
8499;"Five Nights at Freddy's";8653,8653;67;2019
8581;"Star Fox";70,421;76;2019
8729;"Vampyr";894,110;70;2019
8739;"Monaco: What's Yours Is Mine";4673,700;79;2019
8866;"Shadowgate";8042,8043;75;2019
8954;"Jets'n'Guns";4738;80;2019
8963;"Oniken";4745;78;2019
9007;"Pool Nation";4760;75;2019
9046;"Chroma Squad";5456,248;80;2019
9053;"80 Days";9435,4791;74;2019
9061;"Cuphead";4796;87;2019
9072;"The Last Door";4809,2460;79;2019
9112;"The Book of Unwritten Tales 2";2397,593,753;81;2019
9140;"Guilty Gear";818,1234,1218;80;2019
9146;"GUILTY GEAR XX ACCENT CORE PLUS R";1218;45;2019
9151;"Super Punch-Out!!";70;86;2019
9176;"Call of Cthulhu";404,110;65;2019
9195;"Five Nights at Freddy's 2";8653,8653;61;2019
9196;"Five Nights at Freddy's 3";8653,8653;61;2019
9327;"Please, Don't Touch Anything";5252,1460,6227,14835;75;2019
9418;"Back to Bed";6916,6916,6564;70;2019
9465;"Strike Suit Zero: Director's Cut";4497;59;2019
9509;"Call of Duty: Black Ops III";66,428;71;2019
9531;"Gems of War";5107,445;76;2019
9546;"Zombie Night Terror";10391,6549,1460;80;2019
9549;"Hardland";648;60;2019
9563;"Supraball";5119;50;2019
9607;"CLANNAD";5325,2052,2648,3032,22936,3031,22937;89;2019
9619;"Pilotwings";70,421;61;2019
9643;"Return of the Obra Dinn";1365,15527,15527;92;2019
9674;"Star Fox 2";70,260,70;66;2019
9723;"Cinders";5208,5047;60;2019
9835;"Draugen";3207,19104;68;2019
9918;"LEGO Jurassic World";50,293;75;2019
9945;"Super Crate Box";1653;79;2019
10032;"Ancestors: The Humankind Odyssey";5370,14035;64;2019
10116;"Croixleur Sigma";5752,6937,6938;63;2019
10184;"Defense Grid 2";150,445;78;2019
10528;"fault milestone one";5325,5678;80;2019
10681;"Alwa's Awakening";15416,10296;77;2019
10760;"Bloodstained: Ritual of the Night";9791,1021,445,14304,3226,2344;84;2019
10763;"SuperTuxKart";21848;-1.0;2019
10960;"Thumper";5842;80;2019
11000;"Corpse Party: Blood Drive";5846,2428,2187,2187;62;2019
11092;"Anodyne";6180,27073,27072;68;2019
11122;"ToeJam & Earl: Back in the Groove";4624,4440;75;2019
11177;"Gang Beasts";5957,85;68;2019
11179;"Skullgirls: 2nd Encore";8207,1218,5082,2976;80;2019
11227;"Trials of Mana";250;86;2019
11233;"What Remains of Edith Finch";4356,11662;86;2019
11247;"Duck Game";7900,4440;85;2019
11393;"Chaos;Child";2428,4091;80;2019
11394;"Steins;Gate 0";4091,2428,5172;88;2019
11413;"planetarian ~the reverie of a little planet~";5325,3032,2648,22936,3031,22937;90;2019
11417;"Odallus: The Dark Call";4745;85;2019
11502;"Fairy Fencer F: Advent Dark Force";2252,5322,10024,2932;64;2019
11542;"Shenmue III";6077,6215,423,22670;64;2019
11560;"AER: Memories of Old";9945,2248;69;2019
11562;"Skyhill";6109,6109,2248;65;2019
11568;"FutureGrind";6087;75;2019
11580;"Orphan";6095,16291;60;2019
11582;"Stellaris";7466,517;78;2019
11583;"Five Nights at Freddy's 4";8653,8653;60;2019
11601;"Corpse Party 2: Dead Patient";6112;80;2019
11617;"Breath of Fire";37,37;74;2019
11660;"Yo-Kai Watch 3: Sushi & Tempura";837;77;2019
11668;"Dollhouse";9308,6999;68;2019
11669;"Vane";6152;54;2019
11737;"Outer Wilds";6209,11662;87;2019
11800;"Divinity: Original Sin II";510;90;2019
11803;"Muv-Luv Photonflowers*";6230,2428;70;2019
11804;"YU-NO: A Girl Who Chants Love at the Bound of this World";6327;-1.0;2019
11816;"YU-NO: A Girl Who Chants Love at the Bound of this World";2428;70;2019
11840;"The King's Bird";6352,15257;69;2019
11947;"Battlemaster";7213,4119,2424;-1.0;2019
12153;"Ikari Warriors";1474,190,1339,2678,1384,4110,27604,304,23757;65;2019
12595;"Yakuza Kiwami";112,423,19967,14150;81;2019
12598;"The Aquatic Adventure of the Last Human";6561;72;2019
12639;"7'scarlet";4607,1956,2103,5620,2923;70;2019
12731;"Fishing Planet";13255;60;2019
12815;"Stories: The Path of Destinies";3213;70;2019
13146;"The Sims 4: Spa Day";1,1505,283;73;2019
