id;name
8803;Anthony Case
8804;Caiysware
8810;Ninja Kiwi
8845;Lucid Games
8852;Grimlore Games
8892;Kaiko
8904;Sanuk Games
8944;H2 Interactive Co., Ltd.
8965;GungHo Online Entertainment America, Inc.
8968;REMIMORY
9005;PlayWay S.A.
9014;M2 Co.,LTD
9015;Dogenzaka Lab
9039;Daniel Linssen
9042;Crafty Studios
9043;Ravenscourt
9066;Marvelous Europe Ltd.
9103;Drakkar Dev
9107;JetDogs Studios
9116;2tainment
9148;Alternative Software Ltd
9185;Z-Software GmbH
9188;Brave Giant
9190;New Blood Interactive
9213;BadLand Games SL
9301;Xitilon
9303;Black Sheep Studio
9308;Creazn Studio
9317;DYNAMIC PIXELS
9322;Grab The Games
9327;Bombservice
9364;Nerial
9378;Team Shanghai Alice
9383;Jaywalkers Interactive
9385;Square Enix Collective
9401;Darjeeling
9403;ARTE France
9405;Xiotex Studios
9422;Alexey Bokulev
9423;Sergei Klimov
9424;Charlie Oscar Lima Tango Interactive Entertainment
9425;Yukitama Creative Industries
9431;Ghost Town Games
9434;CCCP
9435;Cape Guy
16399;GOPublX Media Relations
16412;Liquid Bit
16433;Hound Picked Games
16434;Cracked Heads
16435;Pixelnicks
16437;Team17
16440;Snowhound Games
16451;PigeonDev
16454;Melbot Studio
16493;Delightworks
16565;Bethesda Softworks
16697;Twirlbound
16698;Bit Golem
16720;D'Avekki Studios
16723;The Secret Police
16757;オートリ電子
16761;Radin Games
16762;Flynn's Arcade
16781;Warcave
16782;Nnooo Pty Ltd.
16793;Deep Water Studio
16812;Flying Tiger Entertainment
16852;NekoNyan
16862;Hop Frog
16878;Julian Glander
16879;Glanderco
16880;Raiser Games
16896;Red Dev Studio
16913;Gamera Interactive
16923;SNK Corporation
16934;Storybird Games
16938;Climou
16941;Badlad Games
16956;Arc System Works America
16969;Ryû ga Gotoku Studio
17012;Dotoyou Games
17027;Grace Bruxner
17041;Karin Entertainment
17051;Pertroglyph Games
17069;The Pixel Hunt
17071;Atomicom
17072;Cordelia Games
17073;Hyper Luminal Games Ltd
17078;LINE Games Corporation
17082;Archpray
17087;Grapeshot Games
17089;Exe Create
17093;SIXTH VOWEL
17098;National Insecurities
17102;Moondrop
17106;Tasselfoot
17111;Resolution Games
17127;Martian Rex
17128;standardcombo
17140;Fictive Studio
17141;Mad about Pandas
17144;Rejet
17183;HAMSTER
17190;Tero Lunkka
17203;Cherry Kiss Games
17204;Norn / Miel
17224;HAMSTER, Co.
17231;iBong
17232;Grumpy
17235;Future Tech Lab Co., Ltd.
17246;Ponywolf
17247;LLC
17248;Wild Kid Games
17463;Epic Games
17524;System 3 Software Ltd.
17535;Appsolute Games LLC
17542;Digital Crafter
17560;Creobit
17561;8FLOOR
17562;Mi’pu’mi Games
17569;Tessera Studios
17572;Life Zero
17574;NX Games
17586;Hiberus Games
17588;Mutant Entertainment Studios
17595;Gamers Digital
17600;Natsume Atari
17619;HZ3 Software
17630;JPEG OF PAIN GAMES
17631;JPEG OF PAIN
17632;Mokuzai Studio
24620;Aiyou Interactive Entertainment
24632;NomNomNami
24662;Studio Élan
24680;Shengqu Games
24683;Muzt Die Studios
24693;7th Beat Games
24712;YGGDRAZIL GROUP PUBLIC
24713;Ningbo Inception Media
24719;Softstar Technology (Beijing)
24721;SergioPoverony
24750;NerfGame
24751;RedDeerGames
24755;George Allan
24760;Nacon
24818;Ratalaika Games
24820;CFK
24864;Dot 4 Joy
24865;Joyient
24895;MAGIC Spell Studios
24896;Dane Sherman
24947;Immaterial Studio
24967;kyuu Fujisaki
24981;Silky's Plus Wasabi
24982;Silky's Plus Alpha
24983;Silky's Plus
24984;Red Flagship
25023;Igrasil Studio
25024;Igrasil Development Team
25026;npckc
25042;Captain Seedy-Eye
25063;Timespace Studios
25079;GomePlayTV
25088;Gamma V
25095;WID STUDIO
25108;Strange Scaffold
25126;Studio Bidon Games
25127;Cotton Games
25128;E-Home Entertianment Development
25134;Wix Games
