id,name
9423,Sergei Klimov
9424,Charlie Oscar Lima Tango Interactive Entertainment
9431,Ghost Town Games
9483,"Fox Video Games, Inc."
9484,Texas Instruments Incorporated
9524,Grey Alien Games
9539,GCE
9602,rotobee
9603,Dino Dini
9935,Rocketcat Games
9988,Playcomet Inc.
10030,Steve Gal
10068,Masaya
10075,THQ Nordic
10098,SNK of America
10100,Sony Interactive Entertainment
10141,Sega Entertainment
10162,Acornsoft Limited
10178,Namcot
10282,Sony Corporation
10326,Aisystem Tokyo
10362,I'Max
10464,Kiya Overseas Industry
10549,HypeTrain Digital
10634,Jutsu Games
10754,ToyBox
10924,"BrainBank, Inc."
10960,Black Flag Studios
11008,OXON Game Studio
11165,"Orion Software, Inc."
11171,Majesco Sales
11518,Design Factory
11534,"Dale Disharoon, Inc."
11589,Green Stripe Snake
11613,Argus Press Software Ltd.
11680,Studio B Ltd.
11748,Bug-Byte Software Ltd.
11758,TATI Mixedia
11859,BBC Wales Interactive
11927,Coconut Island Games
11960,Motion Twin
12017,Rayark Inc.
12084,Excalibur Games
12207,Long Hat House
12274,Purple Software
12275,Sleepy Duck
12295,Play Ten Interactive
12459,Pixel Crow
12539,101XP
12540,Piko Interactive
12775,Straylight Entertainment
12824,Mesa Logic
13009,IQ Publishing
13038,Topo Soft
13068,mebius
13245,Drago Entertainment
13262,"Magic Tree, Ltd."
13268,Silent Software
13283,The Essential Myth
13344,Dagestan Technology
13361,"Artech Digital Entertainments, Inc."
13377,Asmik Corporation
13396,Krin Juangbhanich
13515,Acetronic
13526,"Tozai Games, Inc."
13634,Sony Computer Entertainment
13765,Flaregames
14055,Warner Bros. Interactive Entertainment
14147,AiCherry
14153,KAYAC
14238,Codeglue
14282,E-Studio
14284,Patrick Hofmann
14487,SCE Studio Cambridge
15189,Big Flat Potato S.A.
15207,Empyrean
15212,Top Hat Studios Inc
15226,Critical Bliss
15227,dev4play
15249,Ebi-Hime
15250,Denpasoft
15251,illuCalab
15388,Playloft
15394,PDDS ENT
15435,NHN Corporation
15436,Petite Games
15514,Celery Emblem
15542,Binx Interactive
15599,AstralSystem
16064,Craneballs Studio
16078,Managore
16105,Robert Hendry Games
16213,Strictly Limited Games
16262,Team Career
16565,Bethesda Softworks
16698,Bit Golem
16875,softhouse-seal
16968,Nippon Computer Systems
16984,VCC Entertainment
17017,dtp entertainment AG
17147,Norsk Strek AS
17160,Virgin Interactive Entertainment
17183,HAMSTER
17463,Epic Games
17615,retro-bit
17716,DEVM Games
17910,DOMO Production
17929,NTT Plala
17947,Ultimate Games
17976,Age of Fear
18181,Never Knows Best制作组
18271,A Game From Low Polystan
18326,vitte
18352,Aniplex Inc.
18476,Games Operators
18561,DLsite
18910,DIEDEMOR STUDIO GAMES
19053,All In! Games
19126,Mad Head Games
19136,Gestalt games
19200,EA Games
19239,Kanawo
19287,Blackstaff Games
19700,Limited Run
19866,Maple Whispering Limited
19897,Grindstone
20208,DevCubeStudio
20455,Purple Lamp Studios
20820,JERA
20873,Pawapuro Production
20906,灵异调查管理局
21313,Dear Villagers
21385,Don't Bite Devs
21695,BANDIT Inc.
22071,Gaps
22170,Maxis Software
22178,Independent Arts Software GmbH
22403,Ed Salisbury
22439,Gregory Pratt
22440,papercookies
22476,Protocol Games
22478,Humble Original
22622,Groover
22689,Locojoy
22721,Bandai Namco Studios
22725,Games for All
22800,KSS Media Entertainment
22843,Sony Music Entertainment
22889,qureate
22908,Acerola
23046,CMI
23063,Filip Victor
23088,Circle Poison
23248,Sweet & Tea
23287,Columbus Circle
23562,Marco S Hampel
23745,Jake Jonghwa Kim
23792,Shaftesbury Sales Company
23889,3BD GAMES
23904,Byte Barrel
23956,Brave At Night
23997,Good Deal Games
24011,Vladimir Fedyushkin
24012,Nicolai Danielsen
24089,Bbmf Corporation
24142,Volframe
24178,Warfare Sims
24249,Fireart Games
24264,Bil Deerbuch
24276,Smilesoft
24286,LinkandZelda
24291,Destinedjagold
24323,Bunkovsky
24721,SergioPoverony
24791,Soft Machine
24866,Growing Seeds
24884,Greenstreet Games
24911,Tbardo Games
24999,Venineth Team
25081,Lugmillord
25088,Gamma V
25089,PangaeaPanga
25709,David Rodrigues
25845,Packrat Video Games
25918,Mario Fan Games Galaxy
25956,Arcade Zone
26166,Sly Dog Studios
26323,Enix
26636,So Romantic
26850,Neil Sorenson
26946,farfromsleep
27078,GameNet
27138,Daisy2
27142,Sylvie
27391,sub-Q Magazine
27869,Mike Singleton
27890,PluswPlus
27937,Sega CS3
28013,Immersive Games
28196,StoryTaco.inc
28207,Shiro
28225,ADVECT Productions
28509,Brainchild
28525,42 Foundation
30855,Hi-Score
5,Interplay Entertainment
10,LucasArts
11,EA Redwood Shores
27,Eidos Montréal
37,Capcom
39,Ubisoft Annecy
44,Team Ico
74,CyberFront
91,Playmates Interactive Entertainment
97,New World Computing
112,Sega
129,Konami
141,Virgin Interactive Entertainment (Europe) Ltd.
146,Strategy First
175,Haemimont Games
182,Nihilistic Software
184,id Software
190,Atari Corporation
195,Brøderbund Software
208,Frontier Developments
213,Infogrames
215,WizardWorks Software
221,Splash Damage
234,Cryo Interactive
238,Typhoon Games
250,Square
252,Square Electronic Arts
263,Namco
294,Telltale Games
310,Ultra Games
319,n-Space
340,Empire Interactive
348,Exient Entertainment
355,Zoo Digital
373,Ascaron Entertainment
395,Sonic Team
398,Ubisoft Shanghai
414,Croteam
423,Deep Silver
432,Beenox
445,505 Games
451,Terminal Reality
487,3DO
517,Paradox Interactive
538,Viva Media
555,EA Tiburon
592,Milestone
595,VU Games
617,Bandai
659,Sledgehammer Games
688,S2 Games
692,High Score Productions
697,Ubisoft Bucharest
724,Ultimation
749,SCE Cambridge Studio
756,E-Frontier
786,Q Entertainment
787,Aspect
796,Infinite Game Publishing
806,Tantalus Interactive
818,Atlus
832,Rising Star Games
837,Level-5
840,Ubisoft Sofia
842,GRIN
847,Ubisoft Toronto
863,Takara
866,Nintendo SPD Group No. 2
874,Smilebit
880,Domark Software
888,Digital Eclipse
892,Capcom Production Studio 2
942,Graviteam
943,Colossal Order
1001,Eutechnyx
