id;name
1;Electronic Arts
5;Interplay Entertainment
8;2K Games
10;LucasArts
15;2K Marin
17;Digital Extremes
18;2K China
19;Arkane Studios
20;Darkside Game Studios
21;Irrational Games
23;Feral Interactive
26;Square Enix
27;Eidos Montréal
37;Capcom
38;Ubisoft Montreal
39;Ubisoft Annecy
42;Tencent Holdings Ltd
45;Sony Computer Entertainment, Inc. (SCEI)
47;Obsidian Entertainment
48;NetherRealm Studios
50;WB Games
51;Blizzard Entertainment
53;Microsoft Game Studios
57;Certain Affinity
58;Mojang Studios
61;Gameloft
66;Activision
67;Petroglyph Games
70;Nintendo
71;Raven Software
72;Vicarious Visions
73;Aspyr Media
74;CyberFront
79;Magic Pockets
82;Atari
85;Double Fine Productions
93;Square Enix 1st Production Department
95;Disney Interactive
104;Ubisoft Entertainment
108;Techland
110;Focus Home Interactive
112;Sega
115;Codemasters
118;Paradox Development
119;Mass Media Interactive Entertainment
122;Crytek Frankfurt
126;Bethesda Game Studios
128;Microsoft
129;Konami
137;Digital Illusions CE
139;Take-Two Interactive
148;Gearbox Software
154;Neowiz Games
157;1C Company
164;Rocksteady Studios
167;People Can Fly
170;Kojima Productions
179;Activision Blizzard
184;id Software
187;Nerve Software, LLC
188;Apogee Software
190;Atari Corporation
191;Imagineer
208;Frontier Developments
213;Infogrames
221;Splash Damage
224;3D Realms
227;U.S. Gold
229;SEGA of America
248;Bandai Namco Entertainment
249;Crytek
251;Sunsoft
256;NCsoft
261;Quantic Dream
263;Namco
283;The Sims Studio
284;Maxis
290;IO Interactive
291;Nixxes Software
293;TT Games
303;Jaleco
305;Remedy Entertainment
313;Success Corporation
314;4A Games
315;Trion Worlds
318;Rebellion Developments
327;Midway Games
331;Triumph Studios
347;Criterion Games
356;Slightly Mad Studios
366;Epyx
374;Koch Media
377;Firaxis Games
385;Krome Studios
392;High Voltage Software
393;inXile Entertainment
398;Ubisoft Shanghai
401;Naughty Dog
403;Sucker Punch Productions
404;Cyanide Studio
414;Croteam
420;Flying Wild Hog
421;Nintendo EAD
423;Deep Silver
426;Disney Interactive Studios
428;Treyarch
432;Beenox
433;Ubisoft Reflections
434;High Moon Studios
438;Infinity Ward
439;Sumo Digital
442;Asobo Studio
445;505 Games
449;D3 Publisher
451;Terminal Reality
458;Funcom
468;Meridian4
486;Sports Interactive
498;Pyro Studios
517;Paradox Interactive
537;Massive Entertainment
552;Crystal Dynamics
555;EA Tiburon
572;Appeal Studios
579;Big Huge Games
620;Bungie
634;Devolver Digital
690;Torus Games
694;Visual Concepts
696;HB Studios
697;Ubisoft Bucharest
700;Majesco Entertainment
702;Ubisoft Montpellier
709;Teyon
711;Psyonix
716;Natsume
717;Red Storm Entertainment
720;Infogrames Europe
722;343 Industries
727;Oddworld Inhabitants
728;Just Add Water (Development) Ltd
729;TechInform
741;Toys for Bob
743;Tripwire Interactive
746;Media Molecule
748;Double Eleven
762;HAL Laboratory
765;Intelligent Systems Co., Ltd.
769;Team Ninja
771;Rare
772;Palcom
774;QLOC
781;M2
782;Marvelous Entertainment
783;Kalypso Media
789;Buena Vista Games
794;Virtuos
797;h.a.n.d., Inc.
799;(Archive) Square Enix Product Development Division 1
800;Jupiter Corporation
805;Other Ocean Interactive
817;Taito
818;Atlus
819;Neverland
822;Ubisoft Singapore
823;United Front Games
830;Sega AM2
832;Rising Star Games
834;Insomniac Games
835;Ronimo Games
836;Kadokawa Games
837;Level-5
841;Ubisoft Paris
843;Harmonix Music Systems
845;Grasshopper Manufacture
847;Ubisoft Toronto
851;ZeniMax Online Studios
852;Platinum Games
858;Koei Tecmo Games
860;Fatshark
862;Tamsoft
876;Sora
888;Digital Eclipse
894;Dontnod Entertainment
895;Heavy Iron Studios
896;(Archive) Ubisoft Quebec
908;CD Projekt RED
910;Re-Logic
917;Perfect World Entertainment
920;Crytek Kiev
935;Running with Scissors
946;Saber Interactive
954;ACE Team
965;Ghost Games
1002;Respawn Entertainment
1003;Dennaton Games
1010;Microsoft Studios
1012;FromSoftware
1018;Gaijin Entertainment
1021;WayForward Technologies Inc.
1022;Turn 10 Studios
1023;Wizards of the Coast LLC
1030;Bluepoint Games
1060;Vanillaware
1062;Ivory Tower
1065;Realmforge Studios
1074;The Pokémon Company
1095;Genius Sonority
1098;Probe Software
1100;NDCube
1104;Mimimi Productions
1119;Monolith Soft
1128;1st Playable Productions
1135;KID
1212;CI Games
1216;Pyramid
1217;Spike ChunSoft
1218;Arc System Works
1260;Behaviour Interactive
8193;Dischan Media
8194;Petit Depotto
8200;Interabang Entertainment
8207;Marvelous USA, Inc.
8215;OVERDRIVE
8224;Aerosoft GmbH
8254;One More Level
8299;Slitherine Ltd.
8334;stillalive studios
8359;Nowhere Studios
8382;Ludosity
8388;Playables
8397;Fred Wood
8399;Toge Productions
8431;Nexon
8444;Anshar Studios
8454;Blowfish Studios
8456;Those Awesome Guys
8472;TREVA Entertainment
8506;Application Systems Heidelberg
8539;Ice Water Games
8563;Starfish-SD Inc
8579;Blue Manchu
8590;RageSquid
8595;Dodge Roll
8628;Alawar Entertainment
8653;Scott Cawthon
8660;Jujubee S.A.
8714;Bulkhead Interactive
8772;Kyodai
8798;BonusXP
8803;Anthony Case
8804;Caiysware
8842;VR Designs
8852;Grimlore Games
8872;Flashback Games
8890;Love in Space
8892;Kaiko
8909;FobTi interactive
9005;PlayWay S.A.
9014;M2 Co.,LTD
9015;Dogenzaka Lab
9039;Daniel Linssen
9043;Ravenscourt
9066;Marvelous Europe Ltd.
9078;Polygon Art
9107;JetDogs Studios
9122;Space Boat Studios
9148;Alternative Software Ltd
9153;New Reality Games
9161;West Dragon Productions DR
9162;OG-ZONE Digital Entertainment
9166;David Szymanski
9175;LuGus Studios
9185;Z-Software GmbH
9188;Brave Giant
9190;New Blood Interactive
9301;Xitilon
9311;LKA
9317;DYNAMIC PIXELS
9327;Bombservice
9330;Playwood Project
9331;Playwood Games ApS
9344;Speelbaars
9364;Nerial
9385;Square Enix Collective
9391;Still Running
9403;ARTE France
9426;Coatsink Software
9431;Ghost Town Games
9440;Mi-Clos Studio
9456;Team Junkfish
16412;Liquid Bit
16428;Stargazy Studios
16433;Hound Picked Games
16436;3Division
16437;Team17
16440;Snowhound Games
16441;Akatsuki Inc.
16451;PigeonDev
16474;Squeaky Wheel Studio
16565;Bethesda Softworks
16660;Lionbridge Technologies
16698;Bit Golem
16709;Hyperstrange
16718;NTT Solmare Corp.
16743;LabOne48
16762;Flynn's Arcade
16767;Light Maze
16784;Sculptured Software, Inc.
16817;AlfaSystem Co., Ltd.
16832;G-rounding Inc.
16851;Yuzusoft
16852;NekoNyan
16862;Hop Frog
16864;Wonder Games
16880;Raiser Games
16890;Perp Games
