id;name
1;Electronic Arts
2;BioWare
4;Eidos Interactive
8;2K Games
10;LucasArts
13;Demiurge Studios
15;2K Marin
17;Digital Extremes
18;2K China
19;Arkane Studios
20;Darkside Game Studios
23;Feral Interactive
24;Sierra Entertainment
25;Ion Storm
26;Square Enix
27;Eidos Montréal
29;Rockstar Games
36;Frictional Games
37;Capcom
38;Ubisoft Montreal
39;Ubisoft Annecy
44;Team Ico
45;Sony Computer Entertainment, Inc. (SCEI)
47;Obsidian Entertainment
48;NetherRealm Studios
50;WB Games
51;Blizzard Entertainment
52;LTI Gray Matter
53;Microsoft Game Studios
54;TransGaming Technologies
55;Turtle Rock Studios
57;Certain Affinity
58;Mojang Studios
61;Gameloft
63;Pandemic Studios
64;Savage Entertainment
66;Activision
67;Petroglyph Games
68;Ensemble Studios
70;Nintendo
71;Raven Software
72;Vicarious Visions
73;Aspyr Media
74;CyberFront
75;Factor 5
79;Magic Pockets
82;Atari
85;Double Fine Productions
92;NovaLogic
94;EA Digital Illusions CE
95;Disney Interactive
99;The 3DO Company
104;Ubisoft Entertainment
108;Techland
110;Focus Home Interactive
111;The Creative Assembly
112;Sega
115;Codemasters
118;Paradox Development
126;Bethesda Game Studios
128;Microsoft
129;Konami
130;MacSoft Games
139;Take-Two Interactive
141;Virgin Interactive Entertainment (Europe) Ltd.
146;Strategy First
148;Gearbox Software
157;1C Company
160;Double Helix Games
161;Konami Digital Entertainment
163;Climax Studios
164;Rocksteady Studios
165;DC Entertainment
170;Kojima Productions
175;Haemimont Games
179;Activision Blizzard
184;id Software
187;Nerve Software, LLC
191;Imagineer
197;THQ
198;Iron Lore Entertainment
204;Gathering of Developers
205;GT Interactive
211;Blue Castle Games
213;Infogrames
221;Splash Damage
224;3D Realms
225;Lobotomy Software
226;Aardvark Software
227;U.S. Gold
228;FormGen
229;SEGA of America
230;MachineWorks Northwest
231;Tec Toy Indústria de Brinquedos
236;DreamCatcher Interactive
238;Typhoon Games
243;Sony Online Entertainment
248;Bandai Namco Entertainment
250;Square
251;Sunsoft
252;Square Electronic Arts
256;NCsoft
261;Quantic Dream
263;Namco
269;Enlight Software Limited
277;EA Canada
280;Starbreeze Studios
283;The Sims Studio
287;Acclaim Entertainment
290;IO Interactive
291;Nixxes Software
292;Traveller's Tales
293;TT Games
294;Telltale Games
303;Jaleco
305;Remedy Entertainment
306;Rockstar Toronto
308;Rockstar Leeds
312;Konami Computer Entertainment Japan
318;Rebellion Developments
319;n-Space
321;Tose
324;Square Soft
329;Cavia
330;THQ Asia Pacific
334;Sony Computer Entertainment Europe
347;Criterion Games
356;Slightly Mad Studios
364;Rockstar San Diego
365;Rockstar North
370;Péndulo Studios
374;Koch Media
376;Linux Game Publishing
377;Firaxis Games
