game_id;game_name;companies;rating;year
111;"Amnesia: The Dark Descent";36;84;2018
134;"Devil May Cry";37;83;2018
135;"Devil May Cry 2";37;54;2018
358;"Super Mario Bros.";70,421;84;2018
359;"Final Fantasy XV";2670,1863,3573,3331,26;80;2018
885;"Super Meat Boy";591,4602;85;2018
1068;"Super Mario Bros. 3";70,421;89;2018
1086;"Donkey Kong";190,70,1271,1121,2426,2406,70;72;2018
1087;"Donkey Kong Jr.";190,70,70,2426,2406;74;2018
1126;"Crowfall";4994,15901;-1.0;2018
1217;"Shenmue";830,112;87;2018
1218;"Shenmue II";830,846,112,53;75;2018
1262;"South Park: The Stick of Truth";104,47,809;83;2018
1331;"Limbo";53,23818,748,854,854;83;2018
1338;"Prison Architect";1224,748;79;2018
1365;"AirMech Strike";10321,104;31;2018
1397;"Professor Layton and the Curious Village";70,837,322;85;2018
1398;"Professor Layton and the Diabolical Box";70,837,322;82;2018
1408;"Metal Slug 3";1474,4501,5346;83;2018
1514;"Pokémon Crystal";1617,70;87;2018
1672;"Panzer Dragoon Orta";112,874;84;2018
1711;"Wario's Woods";70,25077;69;2018
1802;"Chrono Trigger";250;93;2018
1882;"Amnesia: A Machine for Pigs";1364,36;70;2018
1902;"Dirty Bomb";221,1414,1454;59;2018
1905;"Fortnite";167,17463;75;2018
1906;"Gone Home";2512,918,11662;80;2018
1912;"Warface";920,42,315,1010;61;2018
1983;"Bastion";4602,50,928;87;2018
2058;"PAYDAY 2";905,445,280;74;2018
2117;"DayZ";116;58;2018
2130;"Dust: An Elysian Tail";5228,1010,5228;79;2018
2135;"Bayonetta 2";852,70;91;2018
2136;"Bayonetta";2675,3775,112,852,70;87;2018
2165;"War Thunder";1018;71;2018
2274;"Return of the Tentacle";15669;89;2018
2317;"Toki Tori";37,1092,1108,2255;76;2018
2599;"Game Dev Tycoon";1226;78;2018
2637;"de Blob";197,1303,4602,389,390,4602,10075;74;2018
2733;"10-Yard Fight";70,817,1287,5346,1809;47;2018
2903;"Warframe";17,2095;74;2018
2924;"Broken Sword 5: The Serpent's Curse";482;72;2018
2939;"The Vanishing of Ethan Carter";2518;79;2018
2945;"The Watchmaker";14435,157;70;2018
2990;"Machinarium";1396;85;2018
2991;"Superbrothers: Sword & Sworcery EP";1397,1398;77;2018
3018;"Unepic";3913,3913,1416,1417,2238,6056;69;2018
3022;"Transistor";928;84;2018
3026;"Nihilumbra";1420;75;2018
3087;"Broken Age";753,4602,85;76;2018
3097;"The Walking Dead: Season Two";294;81;2018
3102;"Kerbal Space Program";1464,2827,10392;88;2018
3173;"Risk of Rain";1532,1418;81;2018
3187;"Shroud of the Avatar: Forsaken Virtues";1564;50;2018
3221;"Rogue Legacy";2345,1639;82;2018
3222;"Chasm";4834,15246;63;2018
3225;"No Man's Sky";1641,445,10100;71;2018
3231;"Below";1398,1010;72;2018
3236;"Delver";1655;80;2018
3247;"Sunset Overdrive";834,1010;82;2018
3277;"Rust";1715;74;2018
3476;"Dr. Mario";1809,70;71;2018
3585;"Re-Volt";1836,287,1792,1835,1837,1835,1837;77;2018
3772;"Wreckfest";10075,427;76;2018
3953;"Ikaruga";1963,112,1964,82,861,3701;89;2018
3966;"Killer7";37,845,2262,2390;78;2018
4056;"Carnival Games";268,2000,139;46;2018
4796;"de Blob 2";197,2155,1303,891;73;2018
4843;"Kingdom Come: Deliverance";423,2171;75;2018
5145;"Secret Files: Tunguska";423,593,236,2276,2277;69;2018
5508;"The Banner Saga";2450,2449;84;2018
5568;"40 Winks";205,12540,425;80;2018
5605;"Hover: Revolt of Gamers";2498,6337,1460,8500,12404;60;2018
5772;"SteamWorld Dig";2542;77;2018
5815;"Drake of the 99 Dragons";700,2555;40;2018
5973;"Broforce";2345,2603,634;74;2018
6147;"Mercenary Kings";2688;72;2018
6166;"Subway Surfers";2694,2695;70;2018
6292;"Black Desert Online";2746,2748,13020;70;2018
6419;"Gem Smashers";2083,667,2801,14977;57;2018
6555;"Art of Balance";2807;88;2018
6556;"Art of Fighting 2";2838,1474,1474;59;2018
6558;"River City Ransom";1753,1453,2516,2839,1135,818,2781,1218,2103,213,445;75;2018
6655;"Mother Russia Bleeds";5960,634;66;2018
6701;"Edna & Harvey: Harvey's New Eyes";2248,8229;75;2018
6732;"Rise & Shine";4440,7320;67;2018
6800;"King of the Monsters";1474,863;-1.0;2018
6804;"One Piece: Pirate Warriors 3";858,248,9608;74;2018
6866;"Puyo Puyo Tetris";112,395,12432;81;2018
6880;"Metro Redux";423,314,374;84;2018
6928;"Bullet Witch";82,115,2213,329;67;2018
7098;"Naruto Shippuden: Ultimate Ninja Storm 2";248,2438;71;2018
7116;"Freedom Planet";4534;82;2018
7144;"The Inner World";3009,3010;73;2018
7204;"Project Phoenix";3025;-1.0;2018
7210;"BattleCry";3029,16565;-1.0;2018
7327;"Valiant Hearts: The Great War";702,104;79;2018
7336;"Dreadnought";902,3072,4872;73;2018
7337;"Captain Toad: Treasure Tracker";1246,70,7902,768,2910;83;2018
7342;"INSIDE";854;90;2018
7352;"ABZÛ";4681,445;79;2018
7386;"The Talos Principle";634,414;87;2018
7463;"Hello Kitty Kruisers";2551,3091,832,13447;-1.0;2018
7504;"The Forest";3108;76;2018
7533;"TERA";3115,3078,9851;70;2018
7558;"Ninja Gaiden";2850,2020,864,24352;80;2018
7599;"Life is Strange";894,26,23;81;2018
7603;"Hellblade: Senua's Sacrifice";795;86;2018
7613;"The Devil's Men";2248;-1.0;2018
7631;"OVERKILL's The Walking Dead";905,280;50;2018
7684;"Ghost of a Tale";14768;74;2018
7709;"Salt and Sanctuary";4834,7778,4602;85;2018
7767;"Mini Metro";11360,7712,3688,3688,4363;88;2018
7802;"Bubble Ghost";2379,213,3709,547,3709,3124;-1.0;2018
7886;"Crypt of the NecroDancer";1217,4602,3834,1005;81;2018
7889;"Defender's Quest 2: Mists of Ruin";3837;-1.0;2018
7937;"La-Mulana 2";3909,4363;82;2018
8168;"Tecmo Bowl";2020,16784,17183,24352;75;2018
8174;"Soul Saga: Episode 1";4089;65;2018
8198;"Space Invaders Extreme";26,2987,1267,4706,817;80;2018
8215;"Prismata";4147;70;2018
8256;"N.E.R.O.: Nothing Ever Remains Obscure";4184,6999,4184;55;2018
8259;"Tacoma";918;75;2018
8288;"The Banner Saga 2";2449,2450;87;2018
8311;"Titan Quest";198,197,13,4501,10075;80;2018
8356;"Astebreed";4362,4363;76;2018
8364;"InSomnia: The Ark";15371,10689;40;2018
8430;"Shantae and the Pirate's Curse";1021,9390,832;84;2018
8467;"Velocity 2X";316,4441;84;2018
8506;"Xeodrifter";4496,12242,12242,6549;73;2018
8639;"A.N.N.E.";4609;-1.0;2018
8653;"Before";1715;-1.0;2018
8682;"Grim Fandango Remastered";85;80;2018
8729;"Vampyr";894,110;70;2018
8751;"Stranded Deep";4680;60;2018
8822;"Mitsurugi Kamui Hikae";5273,4363;69;2018
8862;"Guacamelee! Super Turbo Championship Edition";2168,66;84;2018
8876;"MIND: Path to Thalamus";15584;70;2018
8921;"White Night";5025,1460;66;2018
